Sample	Field	Field_type	Field_position	Date	Species	Dry_weight_mg	Glucose	Fructose	Sucrose	Stachyose	Maltose	Erlose	Melezitose	Trehalose	GF_Ratio	TotSug	H_Ratio
B7	S1	Triticale	5m	23-mai	A._ervi	0.232	6.947892898	10.41585995	1.106413659	0.650948808	0.242635836	0.267211257	0.198531095	4.886383489	0.400137744	19.8294935	0.0357234635367767
B135	S2	Triticale	5m	30-mai	Aphidius_sp.	0.258	19.91410751	13.75162987	2.910059752	0.465913868	1.279345317	0.831762091	0.517833786	4.746879612	0.591524471	39.6706522	0.0662691699835477
B130	S2	Triticale	50m	30-mai	A._ervi	0.122	2.809941246	2.310744718	0.974425662	0.595474546	0.033320675	0.150807273	0.089998816	2.565681549	0.54874313	6.964712937	0.03935937726072
B50	S1	Triticale	50m	30-mai	A._uzbekistanicus	0.203	39.63054778	20.89990026	3.217194771	1.107381845	3.154521059	1.19294343	0.707111721	11.88507146	0.654720873	69.90960087	0.0723016030287343
B138	S2	Triticale	5m	30-mai	A._ervi	0.13	34.88245483	20.73418326	2.733759614	0.43872964	0.818972279	0.847960183	0.477052866	1.596727243	0.627194596	60.93311267	0.0351858822576707
B29	S1	Triticale	5m	28-mai	A._ervi	0.216	51.96086866	23.44258255	1.802451021	1.150159886	0.89358893	0.964214996	0.428973762	9.517480817	0.689104647	80.6428398	0.0283568596253725
B32	S1	Triticale	5m	28-mai	A._ervi	0.242	45.03865731	14.54522943	1.229336263	0.919394528	1.754294415	0.363222082	0.141517856	6.747457794	0.755886529	63.99165188	0.0353020165385985
B33	S1	Triticale	5m	28-mai	A._rhopalosiphi	0.187	44.29135175	39.67845136	4.330951174	1.344416609	3.709362216	1.603494541	0.53971332	5.131365804	0.527467615	95.49774097	0.0612849059836771
B142	S2	Triticale	5m	30-mai	Aphidius_sp.	0.183	26.68146049	32.84599835	2.935050611	0.601075076	2.237693537	2.00114795	0.531369894	2.858403524	0.448221056	67.83379591	0.0703220469532471
B24	S1	Triticale	5m	28-mai	A._ervi	0.194	45.43695987	6.231448047	1.038409485	0.632559646	0.816670899	0.102235094	0.026882511	2.111772423	0.879395393	54.28516556	0.0174225959199598
B8	S1	Triticale	5m	23-mai	A._ervi	0.195	62.58674283	24.96062921	4.043541073	1.711804014	1.621972815	0.547071197	0.125301446	13.59229684	0.714890023	95.59706259	0.0240001669072204
B17	S1	Triticale	50m	28-mai	A._ervi	0.281	26.44856271	15.28439496	1.708887358	0.85752778	7.474131763	1.556140507	0.281762842	6.281448401	0.633757207	53.61140792	0.17369503009314
B30	S1	Triticale	5m	28-mai	A._ervi	0.193	40.21279443	9.286445584	3.304014638	0.660707571	0.983639938	0.985087098	0.173554141	1.235747197	0.812392158	55.6062434	0.0385259108692101
B19	S1	Triticale	50m	28-mai	A._ervi	0.287	33.00847992	13.63303589	1.678313399	0.94813036	0.89941386	0.624813804	0.10120387	8.555117219	0.707705986	50.89339111	0.0319379687332452
B43	S1	Triticale	50m	30-mai	A._ervi	0.241	36.95704025	19.92204574	2.02216093	0.758768051	1.578675821	1.807138157	0.28172499	9.106125576	0.649747435	63.32755394	0.0579137948621042
B9	S1	Triticale	5m	28-mai	A._uzbekistanicus	0.15	53.77499054	27.73102771	2.498110295	1.333630129	1.034352752	2.18225097	0.337153599	8.764805223	0.659767115	88.89151599	0.0399785882985704
B38	S1	Triticale	50m	23-mai	A._ervi	0.177	44.13295016	21.94162764	14.36257951	0.420398661	1.193529805	6.075788229	0.935569891	2.75189441	0.667926329	89.0624439	0.0921251154326341
B27	S1	Triticale	5m	28-mai	A._ervi	0.172	18.54189092	6.139969905	0.352017914	0.445162449	0.382088626	0.147762219	0.022152873	1.305238794	0.751235535	26.03104491	0.0212055920117115
B127	S2	Triticale	50m	30-mai	A._uzbekistanicus_?	0.166	31.13903673	47.13617783	11.5957296	1.034077946	3.72412542	8.483928797	1.177490957	14.04804352	0.397814773	104.2905673	0.128348569966979
B136	S2	Triticale	5m	30-mai	Aphidius_sp.	0.069	27.09797721	29.21232489	6.791085969	0.442424486	1.538664173	5.646431231	0.752781008	4.885045388	0.481225925	71.48168897	0.111047689644427
B124	S2	Triticale	50m	30-mai	A._matricariae	0.117	73.60974529	44.51777437	7.375302992	1.049868139	10.99540117	7.189807716	0.949767173	9.752897061	0.623137991	145.6876669	0.131342456545304
B25	S1	Triticale	5m	28-mai	A._ervi	0.284	61.89933139	27.02257313	3.416096998	1.851623829	2.657690714	2.217921328	0.261922122	8.472441836	0.696108925	99.32715952	0.0517233573257024
B132	S2	Triticale	5m	30-mai	A._ervi	0.189	50.73268373	34.38210256	5.904799823	0.377443519	4.999591322	4.194984388	0.28737789	4.380101413	0.59605018	100.8789832	0.0939933502422534
B47	S1	Triticale	50m	30-mai	A._ervi	0.133	126.5397183	31.51991786	9.660804421	1.688755682	6.778331704	4.435651209	0.275429405	26.80896156	0.800582118	180.8986085	0.0635129944518064
B140	S2	Triticale	5m	30-mai	Aphidius_sp.	0.107	37.59498504	12.31215419	1.715979423	0.660417312	0.630764007	0.336867826	0.01650098	2.96814599	0.753298739	53.26766878	0.0184752371474065
B37	S1	Triticale	50m	23-mai	A._ervi	0.256	25.40009715	22.45462298	1.762702629	0.729789601	1.200018487	0.821920964	0.007018591	12.79216675	0.530775169	52.37617041	0.0387381900226256
B41	S1	Triticale	50m	30-mai	A._ervi	0.265	15.45438609	1.009320126	0.38522798	0.44043525	0.45997236	0	0	1.353859136	0.938694234	17.7493418	0.0259148967428189
B1	S3	Triticale	5m	22-mai	A._ervi	0.125	3.987331332	0.320756566	0.474599798	0.135315236	0.022278179	0	1.851079229	1.831372294	0.925545492	6.79136034	0.275844207082671
B72	S3	Triticale	50m	22-mai	A._ervi	0.224	210.9902169	139.0669145	16.25148397	5.519956528	7.436172403	3.335115684	4.383504555	13.1207378	0.602730806	386.9833646	0.0391613542811189
B68	S3	Triticale	50m	22-mai	A._ervi	0.2	52.36105084	45.19525451	2.031658093	0.706831495	1.278847852	0.412410339	0.249769335	4.388610804	0.536726464	102.2358225	0.0189857867676469
B78	S3	Triticale	50m	30-mai	A._ervi	0.052	62.606563	43.60588899	4.086937993	1.684303414	4.907322124	4.762406244	0	15.98730367	0.589446546	121.6534218	0.079485872447527
B162	S4	Triticale	5m	22-mai	A._ervi	0.191	62.98155257	28.12408671	2.768428558	0.438605271	0.127290466	0	0.57552645	2.50325436	0.69130246	95.01549003	0.00739686671908016
