Date	Parasitoid_Origin	Hour_treatment	Sugar_treatment	Code	Glucose	Fructose	Sucrose	Maltose	Erlose	Melezitose	Stachyose	GF_Ratio	H_Ratio	TotSug	Type	Tmt.12
08/01/2017	Ap	0h	ApH	59	18,67555552	6,284689347	3,3992945	1,611780259	0	0,148038334	0,023618356	0,748212032	0,058382377	30,14297632	Parasitoid	Honeydew
08/01/2017	Ap	0h	SaH	60	22,10062054	10,19235296	3,37929222	0,575855031	3,95087111	0,311145683	0,035911418	0,684378617	0,119317959	40,54604897	Parasitoid	Honeydew
08/01/2017	Ap	0h	VfN	61	40,31846657	10,81663029	0,62329406	1,333830893	0	0,049544721	0	0,788469545	0,026031796	53,14176653	Parasitoid	Nectar
08/01/2017	Ap	0h	Unfed	62	21,22906924	1,176565643	0,492662196	1,121457109	0	0,087866948	0,092594443	0,947487958	0,049971623	24,20021558	Parasitoid	Unfed
08/01/2017	Ap	0h	Unfed	63	13,5791399	0,418607033	0,219676075	0	0	0,034740737	0	0,970094685	0,002437576	14,25216375	Parasitoid	Unfed
22/12/2017	Sa	0h	ApH	64	28,04182919	10,49945586	7,310161852	0,865536344	0	0,212450666	0,226727914	0,727578988	0,02285994	47,15616183	Parasitoid	Honeydew
22/12/2017	Sa	0h	ApH	65	51,76086406	11,19986546	2,126898418	5,694501067	3,067935787	0,011166944	0	0,822113474	0,118784965	73,86123174	Parasitoid	Honeydew
22/12/2017	Sa	0h	ApH	66	23,66729119	0,525330991	0,427101773	0,14603037	0	0,100306728	0,032612103	0,978285488	0,009893583	24,89867316	Parasitoid	Honeydew
22/12/2017	Sa	0h	SaH	67	19,38292153	1,2297627	0,464775657	0,135689422	0	0,092901091	0,056056905	0,940339517	0,010700747	21,3621073	Parasitoid	Honeydew
22/12/2017	Sa	0h	SaH	68	26,97355741	10,33902306	3,135418834	1,073548465	3,61905599	0,327335679	0,131185158	0,722907852	0,11008852	45,59912459	Parasitoid	Honeydew
22/12/2017	Sa	0h	SaH	69	33,94552075	1,528274778	0,860540688	0,255858812	0	0,081841538	0,215253769	0,956918205	0,009154924	36,88729033	Parasitoid	Honeydew
22/12/2017	Sa	0h	VfN	70	31,16241641	11,6064123	2,278255515	0,323435843	0	0,339065163	0,765498398	0,728624499	0,014254972	46,47508363	Parasitoid	Nectar
22/12/2017	Sa	0h	VfN	71	40,9106404	6,849149401	1,145310418	0,628321378	0	0,02094463	0,443579767	0,856591718	0,012985854	49,99794599	Parasitoid	Nectar
22/12/2017	Sa	0h	VfN	72	104,8572412	63,13844633	2,119378381	2,442255435	0	0	0,505197398	0,624166267	0,014111984	173,0625187	Parasitoid	Nectar
22/12/2017	Sa	0h	Unfed	73	16,7587322	2,193266714	0,861291627	0,294582439	0	0,065434183	0,047861779	0,884272539	0,017803947	20,22116894	Parasitoid	Unfed
22/12/2017	Sa	0h	Unfed	74	7,199138907	0,116390448	9,406672678	0	0	0,506724245	0,055127101	0,984089949	0,029317443	17,28405338	Parasitoid	Unfed
22/12/2017	Sa	0h	Unfed	75	31,12964234	1,606207047	0,997847523	0,854781851	0	0,034261007	0,023987968	0,95093431	0,025660226	34,64672774	Parasitoid	Unfed
10/01/2018	Ap	48h	ApH	76	1,915740077	0,254596539	0,31520759	0	0	0,084773558	0	0,882692603	0,032981742	2,570317764	Parasitoid	Unfed
08/01/2018	Ap	48h	SaH	77	2,724779695	0,185986889	0,572722436	0	0	0,01886883	0,000686787	0,936103812	0,005386409	3,503044637	Parasitoid	Unfed
10/01/2018	Ap	48h	SaH	78	3,999350041	0,578699877	0,350956416	0	0	0,011607825	0,020320234	0,873592493	0,002339847	4,960934393	Parasitoid	Unfed
12/01/2018	Ap	48h	SaH	79	11,78138469	0,922873396	0,623027464	0,028441292	0	0,004081303	0,027137213	0,927357159	0,002429426	13,38694536	Parasitoid	Unfed
08/01/2018	Ap	48h	Unfed	80	1,430513345	0,257590497	1,306261155	0	0	0,032647283	0,002607248	0,847408382	0,010776034	3,029619528	Parasitoid	Unfed
10/01/2018	Sa	48h	SaH	81	11,08573696	0,586372628	0,174897526	0	0	0	0	0,949762926	0	11,84700711	Parasitoid	Unfed
